Date,Type,English,Greek
02-14,Saint,Ven. Auxentios,Αὐξεντίου ὁσίου
02-14,Saint,Ven. Maron,Μάρωνος ὁσίου
02-14,Saint,Monk-martyr Damianos of Philotheou Monastery,"Δαμιανοῦ ὁσιομάρτυρος, τοῦ Φιλοθεΐτου"
02-15,Saint,Ap. Onisimos of the 70,Ὀνησίμου ἀποστόλου ἐκ τῶν 70
02-15,Saint,Anthimos of Chios,Ἀνθίμου τοῦ ἐν Χίῳ
02-15,Saint,Ven. Evsevios,Εὐσεβίου ὁσίου
02-16,Saint,Martyr Pamphilos & 11 companions,Παμφίλου & τῶν σὺν αὐτῷ 11 μαρτύρων
02-16,Saint,"Flavian, patriarch of Constantinople","Φλαβιανοῦ, Πατρ. ΚΠόλεως"
02-17,Saint,Great-martyr Theodore the Recruit (Tyro),Θεοδώρου Τήρωνος τοῦ μεγαλομάρτυρος
02-18,Saint,"Leo, pope of Rome","Λέοντος, πάπα Ρώμης"
02-18,Saint,"Agapitos, bishop of Synnada","Ἀγαπητοῦ, ἐπισκόπου Σινάου"
02-19,Saint,Apostle Archippos of the 70,Ἀρχίππου ἀποστόλου ἐκ τῶν 70
02-19,Saint,Martyr Philothea of Athens,Φιλοθέης μάρτυρος τῆς Ἀθηναίας
02-20,Saint,"Agathon, pope of Rome","Ἀγάθωνος, πάπα Ρώμης"
02-20,Saint,"Leo, bishop of Catania","Λέοντος, ἐπισκόπου Κατάνης"
02-20,Saint,Ven. Bessarion,Βησσαρίωνος ὁσίου
02-21,Saint,Timothy of Symbola,Τιμοθέου τοῦ ἐν Συμβόλοις
02-21,Saint,"Eustathios, bishop of Antioch","Εὐσταθίου, ἐπ. Ἀντιοχείας"
02-22,Saint,Finding of the relics of Martyrs in Eugenios,Εὕρεσις λειψάνων τῶν ἐν τοῖς Εὺγενίου μαρτύρων
02-23,Saint,"Polycarp, bishop of Smyrna","Πολυκάρπου, ἐπισκ. Σμύρνης"
02-23,Saint,Ven. Gorgonia,Γοργονίας ὁσίας
02-24,Saint,1st & 2nd findings of the Precious Head of St. John the Baptist,Α΄ & Β΄ εὕρεσις τιμίας κεφαλῆς Ἰωάννου τοῦ Προδρόμου
02-25,Saint,"Tarasios, patriarch of Constantinople","Ταρασίου, Πατρ. ΚΠόλεως"
02-26,Saint,"Porphyrios, bishop of Gaza","Πορφυρίου, ἐπ. Γάζης"
02-26,Saint,"Photini, the Samaritan Woman",Φωτεινῆς τῆς Σαμαρείτιδος
