Date,Type,English,Greek
10-03,Saint,John the Hozebite,Ἰωάννου τοῦ Χοζεβίτου
10-04,Saint,"Hierotheos, bishop of Athens","Ἱεροθέου, ἐπισκόπου Ἀθηνῶν"
10-04,Saint,Ven. Ammoun of Egypt,Ἀμμοῦν ὁσίου τοῦ Αἰγυπτίου
10-05,Saint,Martyr Charitina,Χαριτίνης μάρτυρος
10-05,Saint,Ven. Methodia of Kimolos,Μεθοδίας ὁσίας τῆς ἐν Κιμώλῳ
10-06,Saint,Apostle Thomas,Θωμᾶ τοῦ ἀποστόλου
10-06,Saint,Martyr Eroteis,Ἐρωτηίδος μάρτυρος
10-07,Saint,Martyrs Sergius & Bacchus,Σεργίου & Βάκχου μαρτύρων
10-07,Saint,Hieromartyr Julian,Ἰουλιανοῦ ἱερομάρτυρος
10-07,Saint,Hieromartyr Polychronios,Πολυχρονίου ἱερομάρτυρος
10-08,Saint,Virgin-martyr Pelagia,Πελαγίας τῆς παρθενομάρτυρος
10-08,Saint,Ven. Pelagia,Πελαγίας τῆς ὁσίας
10-08,Saint,Ven. Taisia,Ταϊσίας τῆς ὁσίας
10-09,Saint,"Apostle James, son of Alphaeos",Ἰακώβου Ἀλφαίου τοῦ ἀποστ.
10-09,Saint,Ven. Andronicos & Athanasia,Ἀνδρονίκου & Ἀθανασίας ὁσίων
10-10,Saint,Martyrs Eulampios & his sister Eulampia,Εὐλαμπίου & Εὐλαμπίας τῶν αὐταδέλφων & μαρτύρων
10-10,Saint,Ven. Bassian of Constantinople,Βασιανοῦ ὁσίου ΚΠόλεως
10-10,Saint,Ven. Ambrosy of Optina,Ἀμβροσίου ὁσ. τῆς Ὄπτινα
10-11,Saint,"Deacon Philip, Apostle of the 70",Φιλίππου τοῦ διακόνου & ἀποστόλου ἐκ τῶν 70
10-12,Saint,"Martyrs Probos, Tarachos & Andronicos","Πρόβου, Ταράχου & Ἀνδρονίκου τῶν μαρτύρων"
10-12,Saint,Symeon the New Theologian,Συμεών τοῦ νέου Θεολόγου  
10-13,Saint,"Martyrs Carpos, Papylos, Agathodoros & Agathonica","Κάρπου, Παπύλου, Ἀγαθοδώρου & Ἀγαθονίκης τῶν μαρτύρων"
10-13,Saint,New-martyr Chrysi,Χρυσῆς τῆς νεομάρτυρος
10-14,Saint,"Martyrs Nazarios, Celsos, Gervasios & Protasios","Ναζαρίου, Κελσίου, Γερβασίου & Προτασίου τῶν μαρτύρων"
10-14,Saint,Cosmas the Hymnographer,Κοσμᾶ τοῦ μελωδοῦ
10-15,Saint,Hieromartyr Lucian of Antioch,Λουκιανοῦ ἱερομάρτυρος
10-15,Saint,Barsos the Confessor,Βάρσου τοῦ ὁμολογητοῦ
10-16,Saint,Martyr Longinos the Centurion,"Λογγίνου μάρτυρος, τοῦ ἑκατοντάρχου"
10-16,Saint,Martyr Leontios,Λεοντίου μάρτυρος
10-17,Saint,Prophet Hosea,Ὠσηὲ τοῦ προφήτου
10-17,Saint,Hieromartyr Andrew in “the Judgment”,Ἀνδρέου ἱερομάρτυρος τοῦ ἐν τῃ “Κρίσει”
10-18,Saint,Apostle Luke the Evangelist,Λουκᾶ τοῦ ἀποστόλου & Εὐαγγελιστοῦ
10-18,Saint,Martyr Marinos,Μαρίνου μάρτυρος
10-19,Saint,Prophet Joel,Ἰωὴλ τοῦ προφήτου
10-19,Saint,Martyr Varus,Οὐάρου μάρτυρος
10-19,Saint,John of Rila,Ἰωάννου τοῦ ἐν Ρίλᾳ
10-19,Saint,John of Kronstadt,Ἰωάννου τῆς Κρoνστάνδης
10-20,Saint,Great-martyr Artemios,Ἀρτεμίου μεγαλομάρτυρος
10-20,Saint,Ven. Matrona of Chios,Ματρώνης ὁσ. τῆς Χιοπολίτιδος
10-20,Saint,Ven. Gerasimos of Cephallonia,Γερασίμου τοῦ ἐν Κεφαλληνίᾳ
10-21,Saint,Hilarion the Great,Ἱλαρίωνος τοῦ Μεγάλου
10-21,Saint,Martyrs Socrates & Theodoti,Σωκράτους & Θεοδότης τῶν μαρτύρων
10-21,Saint,Ven. Christodoulos of Patmos,Χριστοδούλου ὁσ. ἐν Πάτμῳ
10-22,Saint,"Averkios of Hieropolis, Equal-to-the-Apostles","Ἀβερκίου Ἱεραπόλεως, τοῦ ἰσαποστόλου"
10-22,Saint,Ven. Lot & Rufos of Egypt,"Λὼτ & Ῥούφου ὁσίων, τῶν ἐν Αἰγύπτῳ"
10-23,Saint,"Apostle James, brother of the Lord, first bishop of Jerusalem","Ἰακώβου τοῦ Ἀδελφοθέου, πρώτου ἐπισκόπου Ἱεροσολύμων"
10-24,Saint,Great-martyr Arethas & his companions,Ἀρέθα μεγαλομάρτυρος καὶ τῶν σὺν αὐτῷ
10-24,Saint,Martyr Sebastiani,Σεβαστιανῆς μάρτυρος
10-25,Saint,Martyrs Marcian & Martyrios,Μαρκιανού και Μαρτυρίου τῶν νοταρίων 
10-25,Saint,Tabitha the Almsgiver,Ταβιθᾶς τῆς ἐλεήμονος
10-26,Saint,Great-martyr Demetrios the Myrrhgusher,"Δημητρίου μεγαλομάρτυρος, τοῦ μυροβλύτου"
10-27,Saint,Martyr Nestor,Νέστορος μάρτυρος
10-27,Saint,Martyr Lupos,Λούππου μάρτυρος
10-27,Saint,"Procla, wife of Pontius Pilate","Πρόκλης, συζύγου τοῦ Ποντίου Πιλάτου"
10-28,Saint,Martyrs Terence & Neonilla & their 7 children,"Τερεντίου, Νεονίλλης μαρτύρων & τῶν ἑπτὰ τέκνων αὐτῶν"
10-28,Saint,Ven. Stephen the hymnographer,Στεφάνου ὁσίου & ὑμνογράφου
10-29,Saint,Virgin-martyr Anastasia of Rome,Ἀναστασίας παρθενομάρτυρος τῆς Ρωμαίας
10-29,Saint,Ven. Abramios & his niece Mary,"Ἀβραμίου ὁσίου & Μαρίας ὁσίας, τῆς ἀνεψιᾶς αὐτοῦ"
10-30,Saint,"Apostles Cleopas, Artemas, Tertios, Mark & Justos of the 70","Κλεόπα, Ἀρτεμᾶ, Τερτίου, Μάρκου & Ἰούστου ἐκ τῶν 70 ἀποστόλων"
10-30,Saint,Martyrs Zenobios & Zenobia,Ζηνοβίου & Ζηνοβίας τῶν μαρτ.
10-31,Saint,"Apostles Stachys, Apelles, Amplias & Aristobulos of the 70","Στάχυος, Ἀπελλοῦ, Ἀμπλίου & Ἀριστοβούλου ἐκ τῶν 70 ἀπ."
11-01,Saint,Unmercenaries Cosmas & Damian,Κοσμᾶ & Δαμιανοῦ Ἀναργύρων
11-01,Saint,Ven. David of Evia,Δαβἰδ ὁσίου τοῦ ἐν Εὐβοίᾳ
11-02,Saint,"Martyrs Akindynos, Pegasios, Aphthonios, Elpidophoros & Anempodistos","Ἀκινδύνου, Πηγασίου, Ἀφθονίου, Ἐλπιδοφόρου & Ἀνεμποδίστου τῶν μαρτύρων"
11-03,Saint,The consecration of the church of Great-martyr George in Lydda,Ἀνάμνησις ἐγκαινίων τοῦ ναοῦ τοῦ ἁγ. μεγαλομάρτυρος Γεωργίου στὴ Λύδδα
11-04,Saint,Ioannikios the Great,Ἰωαννικίου τοῦ Μεγάλου
11-04,Saint,Hieromartyrs Nicander & Hermeos,Νικάνδρου & Ἑρμαίου τῶν ἱερομαρτύρων
11-05,Saint,Mart. Galaction & Epistemi,Γαλακτίωνος & Ἐπιστήμης τῶν μαρτύρων
11-05,Saint,"Ap. Hermas, Patrobos, Linos, Gaios & Philologos of the 70","Ἑρμᾶ, Πατρόβα, Λίνου, Γαΐου & Φιλολόγου ἐκ τῶν 70"
11-06,Saint,"Paul the Confessor, archbishop of Constantinople","Παύλου, ἀρχιεπ. ΚΠόλεως τοῦ ὁμολογητοῦ"
11-06,Saint,Paul the Fool-for-Christ,Παύλου τοῦ διὰ Χριστὸν σαλοῦ
11-07,Saint,33 Martyrs of Melitini,Τῶν ἐν Μελιτηνῇ 33 μαρτύρων
11-07,Saint,Lazaros the Stylite of Mount Galesion,"Λαζάρου στυλίτου, τοῦ Γαλησιώτου"
11-08,Saint,Synaxis of the Holy Archangels Michael and Gabriel and all the Bodiless Powers,Ἡ σύναξις τῶν Ἁγ. Ἀρχαγγέλων Μιχαὴλ καὶ Γαβριὴλ & πασῶν τῶν ἀσωμάτων δυνάμεων
11-09,Saint,"Nectarios, bishop of Pentapolis","Νεκταρίου, ἐπ. Πενταπόλεως"
11-09,Saint,Ven. Matrona of Constantinople,Ματρώνης ὁσ. τῆς ΚΠόλεως
11-09,Saint,Symeon Metaphrastes,Συμεών τοῦ Μεταφραστοῦ
11-10,Saint,"Apostles Olympas, Sosipater, Herodion, Erastos & Quartos of the 70","Ὀλυμπᾶ, Σωσιπάτρου, Ῥοδίωνος, Ἐράστου & Κουάρτου ἐκ τῶν 70 ἀποστόλων"
11-10,Saint,Ven. Arsenios the Cappadocian,Ἀρσενίου ὁσίου τοῦ Καππαδόκου
11-11,Saint,Great-martyr Menas,Μηνᾶ μεγαλομάρτυρος
11-11,Saint,"Martyrs Victor, Vincent & Stephanis","Βίκτωρος, Βικεντίου & Στεφανίδος τῶν μαρτύρων"
11-11,Saint,Theodore the Studite,Θεοδώρου τοῦ Στουδίτου
11-12,Saint,John the Merciful,Ἰωάννου τοῦ Ἐλεήμονος
11-12,Saint,Nilos the Myrrhgusher,Νείλου τοῦ μυροβλύτου
11-12,Saint,"Martin, bishop of Tours","Μαρτίνου, ἐπισκόπου Ταρακίνης"
11-13,Saint,John Chrysostom,Ἰωάννου τοῦ Χρυσοστόμου
11-13,Saint,New-martyr Damascene of Constantinople,"Δαμασκηνοῦ τοῦ νεομάρτυρος, ἐκ ΚΠόλεως"
11-14,Saint,Apostle Philip,Φιλίππου τοῦ ἀποστόλου
11-14,Saint,Gregory Palamas,Γρηγορίου τοῦ Παλαμᾶ
11-14,Saint,New-martyr Constantine of Hydra,Κωνσταντίνου νεομάρτυρος τοῦ Ὑδραίου
11-15,Note,Nativity Fast Begins,Ἀρχὴ νηστείας Χριστουγέννων
11-15,Saint,"Martyrs Guria, Shamuna & Habib","Γουρία, Σαμωνᾶ & Ἀβίβου τῶν μαρτύρων"
11-16,Saint,Apostle Matthew the Evangelist,Ματθαίου τοῦ ἀποστόλου & Εὐαγγελιστοῦ
11-17,Saint,"Gregory the Wonder-worker, bishop of Neocaesarea",Γρηγορίου ἐπισκ. Νεοκαισαρείας τοῦ θαυματουργοῦ
11-18,Saint,Martyrs Platon & Romanos,Πλάτωνος & Ῥωμανοῦ μαρτύρων
11-18,Saint,Martyrs Zacchaios & Alphaeos,Ζακχαίου & Ἀλφαίου μαρτύρων
11-19,Saint,Prophet Obadiah,Ἁβδιοὺ τοῦ προφήτου
11-19,Saint,Martyr Barlaam,Βαρλαὰμ μάρτυρος
11-20,Saint,Gregory of Decapolis,Γρηγορίου τοῦ Δεκαπολίτου
11-20,Saint,"Proclos, archbishop of Constantinople","Πρόκλου, ἀρχιεπ. ΚΠόλεως"
11-20,Saint,Mart. Nerses & Joseph,Νιρσᾶ & Ἰωσήφ τῶν μαρτ.
11-21,Feast,Entry into the Temple of the Most-Holy Theotokos,Τὰ Εἰσόδια τῆς Ὑπεραγίας Θεοτόκου
11-22,Saint,"Apostles Philemon, Apphia, Archippos & Onisimos of the 70","Φιλήμονος & Ἀπφίας, Ἀρχίππου, Ὀνησίμου ἐκ τῶν 70 ἀποστόλων"
11-22,Saint,Ven. Iakovos of Evia,Ἰακώβου ὁσίου τοῦ ἐν Εὐβοίᾳ
11-23,Saint,"Amphilochios, bishop of Iconium","Ἀμφιλοχίου, ἐπισκόπου Ἰκονίου"
11-23,Saint,"Gregory, bishop of Agrigentum","Γρηγορίου, ἐπισκ. Ἀκραγαντίνων"
11-23,Saint,Prince Alexander Nevsky,"Ἀλεξάνδρου Νέβσκι, πρίγκηπος"
11-24,Saint,"Hieromartyrs Clement, pope of Rome and Peter, archbishop of Alexandria","Κλήμεντος Ῥώμης & Πέτρου Ἀλεξανδρείας, ἱερομαρτύρων"
11-24,Saint,Hermogenes of Agrigentum,"Ἑρμογένους, ἐπ.  Ἀκραγαντίνων"
11-25,Saint,Great-martyr Catherine,Αἰκατερίνης μεγαλομάρτυρος
11-25,Saint,Great-martyr Mercurios,Μερκουρίου μεγαλομάρτυρος
11-26,Saint,Alypios the Stylite,Ἀλυπίου ὁσίου τοῦ στυλίτου
11-26,Saint,"Nikon, preacher of repentance",Νίκωνος τοῦ “Μετανοεῖτε”
11-26,Saint,Ven. Stylianos of Paphlagonia,Στυλιανοῦ ὁσ. τοῦ Παφλαγόνος
11-27,Saint,Great-martyr James of Persia,Ἰακώβου μεγαλομάρτυρος τοῦ Πέρσου
11-27,Saint,Pinuphrios of Egypt,Πινουφρίου τοῦ Αἰγυπτίου
11-28,Saint,"Stephen the New, martyr & confessor","Στεφάνου τοῦ νέου, μάρτυρος & ὁμολογητοῦ"
11-28,Saint,Martyr Irenarchos,Εἰρηνάρχου μάρτυρος
11-29,Saint,Martyrs Paramonos & Philumenos,Παραμόνου & Φιλουμένου τῶν μαρτύρων
11-29,Saint,Pitirim of Egypt,Πιτυροῦν τοῦ Αἰγυπτίου
11-30,Saint,Apostle Andrew the First-called,"Ἀνδρέου ἀπ., τοῦ Πρωτοκλήτου"
11-30,Saint,"Frumentios, bishop of Abyssinia","Φρουμεντίου, ἐπ. Ἀβησσυνίας"
12-01,Saint,Prophet Nahum,Ναοὺμ τοῦ προφήτου
12-01,Saint,Philaret the Merciful,Φιλαρέτου τοῦ ἐλεήμονος
12-02,Saint,Prophet Habbakuk,Ἀββακοὺμ τοῦ προφήτου
12-02,Saint,Martyr Meropi of Chios,Μυρόπης μάρτυρος τῆς ἐν Χίῳ
12-02,Saint,Ven. Porphyrios of Kavsokalyvia,Πορφυρίου ὁσίου τοῦ Καυσοκαλυβίτου
12-03,Saint,Prophet Zephaniah,Σοφονίου τοῦ προφήτου
12-03,Saint,John the Hesychast of St. Savva's Monastery,Ἰωάννου Ἡσυχαστοῦ τοῦ Σαββαΐτου
12-04,Saint,Great-martyr Barbara,Βαρβάρας μεγαλομάρτυρος
12-04,Saint,John of Damascus,Ἰωάννου τοῦ Δαμασκηνοῦ
12-05,Saint,Ven. Savva the Sanctified,Σάββα ὁσίου τοῦ Ἡγιασμένου
12-05,Saint,Monks of Karyes (Mt. Athos) martyred by the Latins,"Ὁσιομαρτύρων Καρεωτῶν, τῶν ὑπό λατινοφρόνων μαρτυρησάντων"
12-06,Saint,"Nicholas the Wonder-worker, archbishop of Myra in Lycia","Νικολάου, ἐπισκόπου Μύρων τῆς Λυκίας, τοῦ θαυματουργοῦ"
12-07,Saint,"Ambrose, bishop of Milan","Ἀμβροσίου, ἐπισκ. Μεδιολάνων"
12-07,Saint,Martyr Athenodoros,Ἀθηνοδώρου μάρτυρος
12-08,Saint,"Ap. Sosthenes, Apollos, Tychicos, Cephas, Epaphroditos, Caesar & Onesiphoros of the 70","Σωσθένους, Ἀπολλώ, Τυχικοῦ, Κηφᾶ, Ἐπαφροδίτου, Καίσαρος & Ὀνησιφόρου ἐκ τῶν 70 ἀπ."
12-09,Saint,Conception by St. Anna of  the Theotokos,"Ἡ σύλληψις τῆς ἁγ. Ἄννης, μητρὸς τῆς Θεοτόκου"
12-09,Saint,Prophetess Hannah,Ἄννης τῆς προφήτιδος
12-10,Saint,"Martyrs Menas, Hermogenes & Eugraphos","Μηνᾶ, Ἑρμογένους & Εὐγράφου τῶν μαρτύρων"
12-10,Saint,Ven. Thomas Defourkinos,Θωμᾶ ὁσίου Δεφουρκίνου
12-11,Saint,Daniel the Stylite,Δανιὴλ τοῦ στυλίτου
12-11,Saint,Ven. Leontios,Λεοντίου ὁσίου
12-12,Saint,"Spyridon the Wonder-worker, bishop of Trymithus","Σπυρίδωνος, ἐπισκ. Τριμυθοῦντος"
12-13,Saint,Martyr Eustratios & his companions,Εὐστρατίου & τῶν σὺν αὐτῷ μαρτύρων
12-13,Saint,Ven. Herman of Alaska,Γερμανοῦ ὁσίου τοῦ ἐν Ἀλάσκᾳ
12-14,Saint,"Martyrs Thyrsos, Leukios & Kallinicos","Θύρσου, Λευκίου & Καλλινίκου τῶν μαρτύρων"
12-15,Saint,Hieromartyr Eleutherios & his mother Anthia,Ἐλευθερίου ἱερομάρτυρος & τῆς μητρὸς αὐτοῦ Ἀνθίας
12-15,Saint,Susanna the deaconess,Σωσάννης τῆς διακόνου
12-16,Saint,Prophet Haggai,Ἀγγαίου τοῦ προφήτου
12-16,Saint,Empress Theophano,Θεοφανοῦς τῆς Βασιλίσσης
12-16,Saint,"Modestos II, patr. of Jerusalem","Μοδέστου Β΄, Πατριάρχου Ἱεροσολύμων"
12-17,Saint,Prophet Daniel & Three Youths,Δανιὴλ τοῦ προφήτου & τῶν τριῶν ἁγίων Παίδων
12-17,Saint,"Dionysios of Zakynthos, archbishop of Aegina","Διονυσίου, ἀρχιεπισκόπου Αἰγίνης, τοῦ ἐκ Ζακύνθου"
12-18,Saint,"Martyrs Sebastian, Zoe & companions","Σεβαστιανοῦ, Ζωῆς & τῶν σὺν αὐτοῖς μαρτύρων"
12-18,Saint,"Hierom. Modestos I, archb. of Jerusalem","Μοδέστου Α΄, ἱερομάρτυρος, ἀρχιεπ. Ἱεροσολύμων"
12-19,Saint,Matryr Boniface,Βονιφατίου μάρτυρος
12-19,Saint,Aglais of Rome,Ἀγλαΐας τῆς Ρωμαίας
12-20,Saint,Hieromartyr Ignatios the Godbearer,Ἰγνατίου τοῦ Θεοφόρου
12-20,Saint,John of Kronstadt,Ἰωάννου τῆς Κρoνστάνδης
12-21,Saint,Virgin-martyr Juliana,Ἰουλιανῆς παρθενομάρτυρος
12-21,Saint,Martyr Themistocles of Myra in Lycia,"Θεμιστοκλέους μάρτυρος, τοῦ ἐν Μύροις τῆς Λυκίας"
12-22,Saint,Great-martyr Anastasia the Deliverer from Bonds,"Ἀναστασίας μεγαλομάρτυρος, τῆς Φαρμακολυτρίας"
12-23,Saint,Ten martyrs of Crete,Τῶν ἐν Κρήτῃ 10 μαρτύρων
12-23,Saint,"Nahum of Ochrid, enlightener of Bulgaria","Ναοὺμ Ἀχρίδος, φωτιστοῦ τῆς Βουλγαρίας"
12-24,Saint,Virgin-martyr Eugenia & companions,Εὐγενίας τῆς ὁσιοπαρθενο-μάρτυρος & τῶν σὺν αὐτῇ
12-24,Saint,New-martyr Ahmet,Ἀχμὲτ νεομάρτυρος
12-25,Feast,"Nativity according to the flesh of our Lord, God and Saviour Jesus Christ",Ἡ κατὰ σάρκα Γέννησις τοῦ Κυρίου καὶ Θεοῦ καὶ Σωτῆρος ἡμῶν Ἰησοῦ Χριστοῦ
12-26,Saint,Synaxis of the Most Holy Theotokos,Ἡ σύναξις τῆς Ὑπεραγίας Θεοτόκου
12-27,Saint,Archdeacon Stephen the Protomartyr,Στεφάνου τοῦ ἀρχιδιακόνου & Πρωτομάρτυρος
12-27,Saint,Theodore Graptus (“the Branded”),Θεοδώρου τοῦ Γραπτοῦ
12-28,Saint,"20,000 Martyrs burned at Nicomedia",Τῶν ἐν Νικομηδείᾳ καέντων δισμυρίων μαρτύρων
12-28,Saint,Ven. Simon the Myrrhgusher,Σίμωνος τοῦ μυροβλύτου
12-29,Saint,"14,000 Infants slain by Herod","Τῶν ἁγίων 14.000 νηπίων, τῶν ὑπὸ Ἡρώδου ἀναιρεθέντων"
12-29,Saint,"Ven. Markellos, abbot of the Monastery of the Sleepless Ones",Μαρκέλλου ἡγουμένου τῆς Μονῆς τῶν Ἀκοιμήτων
12-30,Saint,Martyr Anysia,Ἀνυσίας ὁσιομάρτυρος
12-30,Saint,Monk-martyr Gedeon of Tyrnovo,"Γεδεὼν ὁσιομάρτυρος, τοῦ ἐν Τυρνάβῳ"
12-31,Saint,Ven. Melania of Rome,Μελάνης ὁσίας τῆς Ῥωμαίας
12-31,Saint,"Hieromartyr Zoticos, feeder of orphans","Ζωτικοῦ ἱερομάρτυρος, τοῦ ὀρφανοτρόφου"
