PaschaOffset,Date,Category,Type,English,Greek
,2025-02-22,,,"Parthenios, bishop of Lampsacos","Παρθενίου, ἐπισκ. Λαμψάκου"
,2025-02-23,,,"1,003 Martyrs of Nicomedia",Τῶν ἐν Νικομηδείᾳ 1.003 μαρτύρων
,2025-02-24,,,,
,2025-02-25,Movable,,Sunday of the Prodigal Son,Τοῦ Ἀσώτου
,2025-02-26,,,Great-martyr Theodore the General,"Θεοδώρου τοῦ Στρατηλάτου, τοῦ μεγαλομάρτυρος"
,2025-02-27,,,Prophet Zachariah,Ζαχαρίου τοῦ προφήτου
,2025-02-28,,,,
,,,,Martyr Nikiphoros,Νικηφόρου μάρτυρος
,,,,"Pancratios, bishop of Taormina","Παγκρατίου, ἐπισκόπου Ταυρομενίας"
,,,,,
,,,,Hierom. Charalampos,Χαραλάμπους ἱερομάρτυρος
,,,,Ven. Scholastika,Σχολαστικῆς ὁσίας
,,,,,
,,,,Hieromartyr Blaise of Sebaste,"Βλασίου ἱερομάρτυρος, τοῦ ἐκ Σεβαστείας"
,,,,Empress Theodora,Θεοδώρας τῆς Αὐγούστης
,,,,,
,,,,"Meletios, archbishop of Antioch","Μελετίου, ἀρχιεπισκόπου Ἀντιοχείας"
,,,,New-martyr Christos the Gardener,"Χρήστου νεομάρτυρος, τοῦ κηπουροῦ"
,,,,,
,,,,Ven. Martinian,Μαρτινιανοῦ ὁσίου
,,,,Apost. Aquila & Priscilla,Ἀκύλα & Πρισκίλλης τῶν ἀπ.
,,,,Ven. Symeon the Myrrh-gusher,Συμεών τοῦ μυροβλύτου
,,,,,
,,Movable,,Soul Saturday,Ψυχοσάββατον
,,,,Ven. Auxentios,Αὐξεντίου ὁσίου
,,,,Ven. Maron,Μάρωνος ὁσίου
,,,,Monk-martyr Damianos of Philotheou Monastery,"Δαμιανοῦ ὁσιομάρτυρος, τοῦ Φιλοθεΐτου"
,,,,,
,,Movable,,Meat-fare (Judgment) Sunday,Τῆς Ἀπόκρεω
,,,,Ap. Onisimos of the 70,Ὀνησίμου ἀποστόλου ἐκ τῶν 70
,,,,Anthimos of Chios,Ἀνθίμου τοῦ ἐν Χίῳ
,,,,Ven. Evsevios,Εὐσεβίου ὁσίου
,,,,,
,,,,Martyr Pamphilos & 11 companions,Παμφίλου & τῶν σὺν αὐτῷ 11 μαρτύρων
