PaschaOffset,Date,Category,Type,English,Greek
,2025-01-13,Immovable,Saint,Martyrs Hermylos & Stratonicos,Ἑρμύλου & Στρατονίκου τῶν μαρτύρων
,2025-01-13,Immovable,Saint,Maximos the Hut-Burner,Μαξίμου τοῦ Καυσοκαλύβου
,2025-01-14,Immovable,Saint,Holy Fathers slain at Sinai and Raitho,Τῶν ἐν Σινᾷ καί Ραϊθῷ ἀναιρεθέντων ὁσίων πατέρων
,2025-01-14,Immovable,Saint,Nina Equal-to-the-Apostles,Νίνας τῆς ἰσαποστόλου
,2025-01-14,Immovable,Saint,"Sabba, archbishop of Serbia","Σάββα, ἀρχιεπισκόπου Σερβίας"
,2025-01-15,Immovable,Saint,Paul of Thebes,Παύλου τοῦ Θηβαίου
,2025-01-15,Immovable,Saint,John the Hut-Dweller,Ἰωάννου τοῦ Καλυβίτου
,2025-01-16,Immovable,Saint,Veneration of the Precious Chains of the Apostle Peter,Προσκύνησις Τιμίας Ἁλύσεως τοῦ ἀποστόλου Πέτρου
,2025-01-17,Immovable,Saint,Anthony the Great,Ἀντωνίου τοῦ Μεγάλου
,2025-01-17,Immovable,Saint,New-martyr George of Ioannina,Γεωργίου νεομάρτυρος τοῦ ἐν Ἰωαννίνοις
,2025-01-18,Movable,Feast,12th Sunday of Luke,ΙΒ΄ Λουκᾶ
,2025-01-18,Immovable,Saint,Patriarchs Athanasios & Cyril of Alexandria,"Ἀθανασίου & Κυρίλλου, Πατρ. Ἀλεξανδρείας"
,2025-01-18,Immovable,Saint,Martyr Theodula,Θεοδούλης μάρτυρος
,2025-01-19,Immovable,Saint,Macarios the Great of Egypt,Μακαρίου Μεγάλου τοῦ Αἰγυπτίου
,2025-01-19,Immovable,Saint,Mark of Ephesus,Μάρκου Ἐφέσου τοῦ Εὐγενικοῦ
,2025-01-19,Immovable,Saint,Macarios of Alexandria,Μακαρίου Ἀλεξανδρείας
,2025-01-20,Immovable,Saint,Euthymios the Great,Εὐθυμίου τοῦ Μεγάλου
,2025-01-20,Immovable,Saint,Leo the Emperor,Λέοντος τοῦ Βασιλέως
,2025-01-21,Immovable,Saint,Maximos the Confessor,Μαξίμου τοῦ ὁμολογητοῦ
,2025-01-21,Immovable,Saint,Martyrs Neophytos & Agne,Νεοφύτου & Ἁγνῆς μαρτύρων
,2025-01-21,Immovable,Saint,Maximos the Greek,Μαξίμου τοῦ Γραικοῦ
,2025-01-22,Immovable,Saint,Ap. Timothy of the 70,Τιμοθέου ἀποστόλου ἐκ τῶν 70
,2025-01-22,Immovable,Saint,Monk-martyr Anastasios the Persian,Ἀναστασίου ὁσιομάρτυρος τοῦ Πέρσου
,2025-01-23,Immovable,Saint,"Clement, bishop of Ancyra",Κλήμεντος ἐπισκ. Ἀγκύρας
,2025-01-23,Immovable,Saint,Dionysios of Olympus,Διονυσίου τοῦ ἐν Ὀλύμπῳ
,2025-01-23,Immovable,Saint,Martyr Agathangelos,Ἀγαθαγγέλου μάρτυρος
,2025-01-24,Immovable,Saint,Xenia of Rome,Ξένης τῆς Ρωμαίας
,2025-01-24,Immovable,Saint,Hieromartyr Babylas,Βαβύλα ἱερομάρτυρος
,2025-01-24,Immovable,Saint,"Xenia, fool-for-Christ of St. Petersburg",Ξένης τῆς διά Χριστὸν σαλῆς ἐκ τῆς  Ἁγ. Πετρουπόλεως
,2025-01-24,Immovable,Saint,Ven. Fathers of Philotheou,Ὅσ. Πατέρων Ι.Μ. Φιλοθέου
,2025-01-25,Movable,Feast,15th Sunday of Luke,ΙΕ΄ Λουκᾶ
,2025-01-25,Immovable,Saint,Gregory the Theologian,Γρηγορίου τοῦ Θεολόγου
,2025-01-25,Immovable,Saint,Ven. Publius,Πουπλίου ὁσίου
,2025-01-26,Immovable,Saint,"Xenophon, Mary, John & Arcadios","Ξενοφῶντος, Μαρίας, Ἰωάννου & Ἀρκαδίου"
,2025-01-26,Immovable,Saint,Ven. Ammon of Egypt,Ἀμμωνᾶ ὁσίου τοῦ Αἰγυπτίου
,2025-01-27,Immovable,Saint,Translation of the relics of  St. John Chrysostom,Ἀνακομιδὴ τῶν λειψάνων ἁγίου Ἰωάννου τοῦ Χρυσοστόμου
,2025-01-27,Immovable,Saint,Ven. Peter of Egypt,Πέτρου ὁσίου τοῦ Αἰγυπτίου
,2025-01-28,Immovable,Saint,Ephraim the Syrian,Ἐφραίμ τοῦ Σύρου
,2025-01-28,Immovable,Saint,Isaac the Syrian,Ἰσαάκ τοῦ Σύρου
,2025-01-28,Immovable,Saint,Ven. Palladios,Παλλαδίου ὁσίου
,2025-01-29,Immovable,Saint,Translation of the relics of Ignatios the Godbearer,Ἀνακομιδὴ τῶν λειψάνων ἁγίου Ἰγνατίου τοῦ Θεοφόρου
,2025-01-29,Immovable,Saint,Ven. Andrew Rublev,"Ἀνδρέου Ρουμπλιώφ, ὁσίου"
,2025-01-30,Immovable,Saint,Three Hierarchs,Τῶν Τριῶν Ἱεραρχῶν
,2025-01-30,Immovable,Saint,Martyr Chrysi,Χρυσῆς μάρτυρος
,2025-01-31,Immovable,Saint,Unmercenaries Cyros & John,Κύρου & Ἰωάννου τῶν Ἀναργύρων
,2025-01-31,Immovable,Saint,Arsenios of Paros,Ἀρσενίου τοῦ ἐν Πάρῳ
,2025-02-01,Movable,,Sunday of Publican & Pharisee (Triodion Begins),Τελώνου & Φαρισαίου (Ἀρχὴ Τριωδίου)
,2025-02-01,,,Martyr Tryphon,Τρύφωνος μάρτυρος
,2025-02-01,,,Martyr Perpetua,Περπετούας μάρτυρος
,2025-02-02,,,Meeting of Our Lord Jesus Christ,Ἡ Ὑπαπαντὴ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ
,2025-02-02,,,Martyr Agathodoros,Ἀγαθοδώρου μάρτυρος
,2025-02-03,,,Symeon the Godreceiver,Συμεών τοῦ Θεοδόχου
,2025-02-03,,,Anna the Prophetess,Ἄννης τῆς προφήτιδος
,2025-02-03,,,"Nicholas, enlightener of Japan","Νικολάου, φωτιστοῦ Ἰαπωνίας"
,2025-02-04,,,Ven. Isidore of Pelusium,Ἰσιδώρου ὁσ. τοῦ Πηλουσιώτου
,2025-02-04,,,Hieromartyr Abramios,Ἀβραμίου ἱερομάρτυρος
,2025-02-04,,,Nicholas the confessor of the Studion Monastery,Νικολάου ὁμολογητοῦ τοῦ Στουδίτου
,2025-02-05,,,Martyr Agatha,Ἀγάθης μάρτυρος
,2025-02-05,,,Ven. Theodosios of Skopelos,Θεοδοσίου ὁσίου τοῦ ἐν Σκοπέλῳ
,2025-02-06,,,"Photios, patriarch of Constantinople","Φωτίου, Πατριάρχου ΚΠόλεως"
,2025-02-06,,,Ven. Barsanouphios & John of Gaza,Βαρσανουφίου & Ἰωάννου τῶν ἐν Γάζῃ ὁσίων
,2025-02-07,,,"Parthenios, bishop of Lampsacos","Παρθενίου, ἐπισκ. Λαμψάκου"
,2025-02-07,,,"1,003 Martyrs of Nicomedia",Τῶν ἐν Νικομηδείᾳ 1.003 μαρτύρων
,2025-02-08,Movable,,Sunday of the Prodigal Son,Τοῦ Ἀσώτου
,2025-02-08,,,Great-martyr Theodore the General,"Θεοδώρου τοῦ Στρατηλάτου, τοῦ μεγαλομάρτυρος"
,2025-02-08,,,Prophet Zachariah,Ζαχαρίου τοῦ προφήτου
,2025-02-09,,,Martyr Nikiphoros,Νικηφόρου μάρτυρος
,2025-02-09,,,"Pancratios, bishop of Taormina","Παγκρατίου, ἐπισκόπου Ταυρομενίας"
,2025-02-10,,,Hierom. Charalampos,Χαραλάμπους ἱερομάρτυρος
,2025-02-10,,,Ven. Scholastika,Σχολαστικῆς ὁσίας
,2025-02-11,,,Hieromartyr Blaise of Sebaste,"Βλασίου ἱερομάρτυρος, τοῦ ἐκ Σεβαστείας"
,2025-02-11,,,Empress Theodora,Θεοδώρας τῆς Αὐγούστης
,2025-02-12,,,"Meletios, archbishop of Antioch","Μελετίου, ἀρχιεπισκόπου Ἀντιοχείας"
,2025-02-12,,,New-martyr Christos the Gardener,"Χρήστου νεομάρτυρος, τοῦ κηπουροῦ"
,2025-02-13,,,Ven. Martinian,Μαρτινιανοῦ ὁσίου
,2025-02-13,,,Apost. Aquila & Priscilla,Ἀκύλα & Πρισκίλλης τῶν ἀπ.
,2025-02-13,,,Ven. Symeon the Myrrh-gusher,Συμεών τοῦ μυροβλύτου
,2025-02-14,Movable,,Soul Saturday,Ψυχοσάββατον
,2025-02-14,,,Ven. Auxentios,Αὐξεντίου ὁσίου
,2025-02-14,,,Ven. Maron,Μάρωνος ὁσίου
,2025-02-14,,,Monk-martyr Damianos of Philotheou Monastery,"Δαμιανοῦ ὁσιομάρτυρος, τοῦ Φιλοθεΐτου"
,2025-02-15,Movable,,Meat-fare (Judgment) Sunday,Τῆς Ἀπόκρεω
,2025-02-15,,,Ap. Onisimos of the 70,Ὀνησίμου ἀποστόλου ἐκ τῶν 70
,2025-02-15,,,Anthimos of Chios,Ἀνθίμου τοῦ ἐν Χίῳ
,2025-02-15,,,Ven. Evsevios,Εὐσεβίου ὁσίου
,2025-02-16,,,Martyr Pamphilos & 11 companions,Παμφίλου & τῶν σὺν αὐτῷ 11 μαρτύρων
,2025-02-16,,,"Flavian, patriarch of Constantinople","Φλαβιανοῦ, Πατρ. ΚΠόλεως"
,2025-02-17,,,Great-martyr Theodore the Recruit (Tyro),Θεοδώρου Τήρωνος τοῦ μεγαλομάρτυρος
,2025-02-18,,,"Leo, pope of Rome","Λέοντος, πάπα Ρώμης"
,2025-02-18,,,"Agapitos, bishop of Synnada","Ἀγαπητοῦ, ἐπισκόπου Σινάου"
,2025-02-18,Movable,,No Liturgy,Ἄνευ Λειτουργίας
,2025-02-19,,,Apostle Archippos of the 70,Ἀρχίππου ἀποστόλου ἐκ τῶν 70
,2025-02-19,,,Martyr Philothea of Athens,Φιλοθέης μάρτυρος τῆς Ἀθηναίας
,2025-02-20,,,"Agathon, pope of Rome","Ἀγάθωνος, πάπα Ρώμης"
,2025-02-20,,,"Leo, bishop of Catania","Λέοντος, ἐπισκόπου Κατάνης"
,2025-02-20,,,Ven. Bessarion,Βησσαρίωνος ὁσίου
,2025-02-20,Movable,,No Liturgy,Ἄνευ Λειτουργίας
,2025-02-21,Movable,,Holy Fathers shone forth in ascetic life,Τῶν ἐν ἀσκήσει διαλαμψάντων ὁσίων
,2025-02-21,,,Timothy of Symbola,Τιμοθέου τοῦ ἐν Συμβόλοις
,2025-02-21,,,"Eustathios, bishop of Antioch","Εὐσταθίου, ἐπ. Ἀντιοχείας"
,2025-02-22,Movable,,Cheese-fare (Forgiveness) Sunday,Τῆς Τυρινῆς
,2025-02-22,,,Finding of the relics of Martyrs in Eugenios,Εὕρεσις λειψάνων τῶν ἐν τοῖς Εὺγενίου μαρτύρων
,2025-02-23,Movable,,Beginning of Lent,Ἀρχὴ νηστείας
,2025-02-23,Movable,,Clean Monday,Καθαρὰ Δευτέρα
,2025-02-23,,,"Polycarp, bishop of Smyrna","Πολυκάρπου, ἐπισκ. Σμύρνης"
,2025-02-23,,,Ven. Gorgonia,Γοργονίας ὁσίας
,2025-02-24,,,1st & 2nd findings of the Precious Head of St. John the Baptist,Α΄ & Β΄ εὕρεσις τιμίας κεφαλῆς Ἰωάννου τοῦ Προδρόμου
,2025-02-25,,,"Tarasios, patriarch of Constantinople","Ταρασίου, Πατρ. ΚΠόλεως"
,2025-02-26,,,"Porphyrios, bishop of Gaza","Πορφυρίου, ἐπ. Γάζης"
,2025-02-26,,,"Photini, the Samaritan Woman",Φωτεινῆς τῆς Σαμαρείτιδος
,2025-02-27,,,"Procopios, confessor of Decapolis","Προκοπίου ὁμολ., τοῦ Δεκαπολίτου"
,2025-02-27,,,Martyr Gelasios the Actor,"Γελασίου μάρτυρος, τοῦ μίμου"
,2025-02-27,,,Ven. Ephraim of Katounakia,Ἐφραίμ ὁσ. τοῦ Κατουνακιώτου
,2025-02-27,Movable,,1st Salutations,Α΄ Χαιρετισμοί
,2025-02-28,Movable,,The miracle of kollyva by St. Theodore the Recruit (Tyro),Τοῦ διὰ κολλύβων θαύματος ἁγ. Θεοδώρου τοῦ Τήρωνος
,2025-02-28,,,John Cassian the Roman,Ἰωάννου Κασσιανοῦ τοῦ Ρωμαίου
,2025-02-28,,,Basil the Confessor,Βασιλείου τοῦ ὁμολογητοῦ
March,2025-03-01,Movable,,1st Sunday of Lent – of Orthodoxy,Α΄ Νηστειῶν – Τῆς Ὀρθοδοξίας
,2025-03-01,,,Martyr Eudokia,Εὐδοκίας ὁσιομάρτυρος
,2025-03-01,,,David of Wales,Δαβίδ Οὐαλίας
,2025-03-02,,,Martyr Hesychios,Ἡσυχίου μάρτυρος
,2025-03-02,,,Martyr Euthalia,Εὐθαλίας μάρτυρος
,2025-03-02,,,Nicholas Planas,Νικολάου τοῦ Πλανᾶ
,2025-03-03,,,"Martyrs Eutropios, Cleonicos & Basiliscos","Εὐτροπίου, Κλεονίκου & Βασιλίσκου τῶν μαρτύρων"
,2025-03-04,,,Gerasimos of the Jordan,Γερασίμου τοῦ Ἰορδανίτου
,2025-03-05,,,Martyr Conon,Κόνωνος μάρτυρος
,2025-03-05,,,Mark the Ascetic,Μάρκου τοῦ ἀσκητοῦ
,2025-03-05,,,New-martyr George of Rapsani,Γεωργίου νεομάρτ. τοῦ ἐν Ραψάνῃ
,2025-03-06,,,42 Martyrs of Amorion,Τῶν ἐν Ἀμορίῳ 42 μαρτύρων
,2025-03-06,,,Uncovering of Precious Cross and Nails,Ἀνάμνησις εὑρέσεως τοῦ Τιμίου Σταυροῦ καὶ τῶν Ἥλων
,2025-03-06,Movable,,2nd Salutations,Β΄ Χαιρετισμοί
,2025-03-07,Movable,,Soul Saturday,Ψυχοσάββατον
,2025-03-07,,,"Hieromartyrs Basil, Ephraim & Eugene","Βασιλείου, Ἐφραίμ & Εὐγενίου ἱερομαρτύρων"
,2025-03-08,Movable,,2nd Sunday of Lent – of St. Gregory Palamas,Β΄ Νηστειῶν – Ἁγ. Γρηγορίου τοῦ Παλαμᾶ
,2025-03-08,,,Apostle Hermas of the 70,Ἑρμοῦ ἀπ. ἐκ τῶν 70
,2025-03-08,Special,,Daylight Savings Time begins. Turn clocks forward 1 hour,
,2025-03-09,,,40 Martyrs of Sebaste,Τῶν ἐν Σεβαστείᾳ 40 μαρτύρων
,2025-03-10,,,Martyr Codratos,Κοδράτου μάρτυρος
,2025-03-10,,,Anastasia the Patrician,Ἀναστασίας τῆς πατρικίας
,2025-03-11,,,"Sophronios, patr. of Jerusalem","Σωφρονίου, Πατριάρχου Ἱεροσολύμων"
,2025-03-12,,,Gregory the Dialogist,"Γρηγορίου τοῦ Διαλόγου, ἐπ. Ρώμης"
,2025-03-12,,,Symeon the New Theologian,Συμεών τοῦ νέου Θεολόγου
,2025-03-13,,,"Trans. of relics of St. Nikiphoros, patriarch of Constantinople","Ἀνακομιδὴ λειψάνων ἁγ. Νικηφόρου, Πατριάρχου ΚΠόλεως"
,2025-03-13,,,3rd Salutations,Γ΄ Χαιρετισμοί
,2025-03-14,Movable,,Soul Saturday,Ψυχοσάββατον
,2025-03-14,,,Ven. Benedict of Nursia,Βενεδίκτου ὁσίου ἐν Νουρσίᾳ
,2025-03-14,,,Ven. Euschemon of Lampsacos,Εὺσχημόνου ὁσίου Λαμψάκου
,2025-03-15,Movable,,3rd Sunday of Lent – Veneration of the Holy Cross,Γ΄ Νηστειῶν – Τῆς Σταυροπροσκυνήσεως
,2025-03-15,,,Martyr Agapios & his comp.,Ἀγαπίου & τῶν σὺν αὐτῷ μαρτ.
,2025-03-15,,,Apostle Aristobulos of the 70,Ὰριστοβούλου ἀπ. ἐκ τῶν 70
,2025-03-16,,,"Martyrs Sabinos, Julian","Σαβίνου, Ἰουλιανοῦ μαρτύρων"
,2025-03-16,,,Christodoulos of Patmos,Χριστοδούλου τοῦ ἐν Πάτμῳ
,2025-03-17,,,Alexis the Man of God,Ἀλεξίου ἀνθρώπου τοῦ Θεοῦ
,2025-03-17,,,"Patrick, enlightener of Ireland","Πατρικίου, φωτιστοῦ Ἰρλανδίας"
,2025-03-18,,,"Cyril, archbishop of Jerusalem","Κυρίλλου, ἀρχιεπισκόπου Ἱεροσολύμων"
,2025-03-18,,,Martys Trophimos & Eucarpos,Τροφίμου & Εὐκαρπίωνος τῶν μαρτύρων
,2025-03-19,,,Martyrs Chrysanthos & Daria,Χρυσάνθου & Δαρείας τῶν μαρτύρων
,2025-03-20,,,Holy Fathers slain at St. Sabbas’ Monastery,Τῶν ἐν τῇ Μονῇ τοῦ ἁγ. Σάββα ἀναιρεθέντων ὁσίων πατέρων
,2025-03-20,Movable,,4th Salutations,Δ΄ Χαιρετισμοί
,2025-03-21,Movable,,Soul Saturday,Ψυχοσάββατον
,2025-03-21,,,James the Confessor,Ἰακώβου τοῦ ὁμολογητοῦ
,2025-03-21,,,Ven. Seraphim of Viritsa,Σεραφείμ ὁσ. τῆς Βίριτσα
,2025-03-22,Movable,,4th Sunday of Lent – of St. John of the Ladder,Δ΄ Νηστειῶν – Ἁγ. Ἰωάννου τῆς Κλίμακος
,2025-03-22,,,Hieromartyr Basil of Ancyra,"Βασιλείου, ἱερομάρ. Ἄγκυρας"
,2025-03-22,,,Martyr Drosis,Δροσίδος μάρτυρος
,2025-03-23,,,Martyr Nikon & his 199 disciples,Νίκωνος ὁσιομάρτυρος & τῶν 199 μαθητῶν αὐτοῦ
,2025-03-24,,,Artemon of Seleucia,"Ἀρτέμονος, ἐπ. Σελευκείας"
,2025-03-24,,,Zacharias the Recluse,Ζαχαρίου τοῦ ἐγκλείστου
,2025-03-25,,,Annunciation of the Theotokos,Ὁ Εὐαγγελισμὸς τῆς Θεοτόκου
,2025-03-26,,,Synaxis of Archangel Gabriel,Ἡ σύναξις τοῦ Ἀρχαγγέλου Γαβριήλ
,2025-03-26,Movable,,Great Canon,Ὁ Μέγας Κανών
,2025-03-27,,,Martyr Matrona of Thessalonica,"Ματρώνης μάρτυρος, τῆς ἐν Θεσσαλονίκῃ"
,2025-03-28,Movable,,Akathist Hymn,Τοῦ Ἀκαθίστου Ὕμνου
,2025-03-28,,,Ven. Hilarion the New,Ἱλαρίωνος ὁσίου τοῦ νέου
,2025-03-28,,,Apostle Herodion,Ἡρωδίωνος ἀποστ. ἐκ τῶν 70
,2025-03-29,Movable,,5th Sunday of Lent–of St. Mary of Egypt,Ε΄ Νηστειῶν–Μαρίας τῆς Αἰγυπτίας
,2025-03-29,,,Hieromartyr Mark of Arethusa,"Μάρκου, ἱερομάρτ. Ἀρεθουσῶν"
,2025-03-29,,,Diadochos of Photiki,Διαδόχου Φωτικῆς
,2025-03-30,,,Ven. John of the Ladder,Ἰωάννου ὁσίου τῆς Κλίμακος
,2025-03-31,,,"Hypatios, bishop of Gangra","Ὑπατίου, ἐπισκόπου Γαγγρῶν"
,2025-03-31,,,Metropolitan Innocent of Moscow,"Ἰννοκεντίου, μητρ. Μόσχας"
April,2025-04-01,,,Mary of Egypt,Μαρίας ὁσίας τῆς Αἰγυπτίας
,2025-04-01,,,Barsanouphios of Optina,Βαρσανουφίου τῆς Ὄπτινα
,2025-04-02,,,Ven. Titus the Wonder-worker,Τίτου ὁσίου τοῦ θαυματουργοῦ
,2025-04-02,,,Virgin-martyr Theodora,Θεοδώρας παρθενομάρτυρος
,2025-04-03,,,Nikitas the Confessor,Νικήτα τοῦ ὁμολογητοῦ
,2025-04-03,,,Joseph the Hymnographer,Ἰωσήφ τοῦ ὑμνογράφου
,2025-04-04,Movable,,Lazarus Saturday,Τοῦ Λαζάρου
,2025-04-04,,,Ven. George of Maleo,Γεωργίου ὁσίου τοῦ ἐν Μαλεῷ
,2025-04-04,,,Ven. Zosimas,Ζωσιμᾶ ὁσίου
,2025-04-05,Movable,,Palm Sunday,Τῶν Βαΐων
,2025-04-05,,,Martyr Claudios & his companions,Κλαυδίου μάρτ. & τῶν σὺν αὐτῷ
,2025-04-05,,,Ven. Theodora of Thessalonica,"Θεοδώρας, ὁσίας τῆς Θεσσαλονίκης"
,2025-04-06,Movable,,Holy Monday,Μεγάλη Δευτέρα
,2025-04-06,Movable,,Righteous Joseph,Ἰωσὴφ τοῦ Παγκάλου
,2025-04-06,,,"Eutychios, patriarch of Constantinople","Εὐτυχίου, Πατριάρχου ΚΠόλεως"
,2025-04-06,,,Gregory of Sinai,Γρηγορίου τοῦ Σιναΐτου
,2025-04-07,Movable,,Holy Tuesday,Μεγάλη Τρίτη
,2025-04-07,Movable,,Ten Virgins,Τῶν Δέκα Παρθένων
,2025-04-07,,,Martyr Calliopios,Καλλιοπίου μάρτυρος
,2025-04-07,,,Patriarch Tikhon of Moscow,Τύχωνος Πατριάρχου Μόσχας
,2025-04-08,Movable,,Holy Wednesday,Μεγάλη Τετάρτη
,2025-04-08,Movable,,Anointing of the Lord,Τῆς ἀλειψάσης τὸν Κύριον
,2025-04-08,,,"Apostles Herodion, Agabos, Rufos, Asyncritos, Phlegon & Hermes of the 70","Ἡρωδίωνος, Ἀγάβου, Ρούφου, Ἀσυγκρίτου, Φλέγοντος & Ἑρμοῦ ἐκ τῶν 70 ἀπ."
,2025-04-09,Movable,,Holy Thursday,Μεγάλη Πέμπτη
,2025-04-09,Movable,,Mystical Supper,Ὁ Μυστικὸς Δεῖπνος
,2025-04-09,,,Martyr Eupsychios of Caesarea,Εὐψυχίου μάρτυρος
,2025-04-09,,,Martyr Vadim & 7 disciples,Βαδίμου ὁσιομάρτυρος & τῶν σὺν αὐτῷ ἑπτὰ μαθητῶν
,2025-04-10,Movable,,Holy Friday,Μεγάλη Παρασκευή
,2025-04-10,Movable,,Holy Passion,Τὰ Ἅγια Πάθη
,2025-04-10,,,"Martyrs Terence, Pompeios & their companions","Τερεντίου, Πομπηΐου & τῶν σὺν αὐτοῖς μαρτύρων"
,2025-04-11,Movable,,Holy Saturday - Christ’s Descent into Hades,Μέγα Σάββατον - Ἡ εἰς Ἅδου Κάθοδος τοῦ Κυρίου
,2025-04-11,,,Hieromartyr Antipas,Ἀντίπα ἱερομάρτυρος
,2025-04-11,,,Hieromartyr Domninos,Δομνίνου ἱερομάρτυρος
,2025-04-12,Movable,,Holy Pascha,Τὸ Ἅγιον Πάσχα
,2025-04-12,Movable,,The Resurrection of Christ,Ἡ Ἀνάστασις τοῦ Κυρίου
,2025-04-12,,,Basil the Confessor,Βασιλείου τοῦ ὁμολογητοῦ
,2025-04-12,,,Anthousa of Constantinople,Ἀνθούσης ΚΠόλεως
,2025-04-13,Movable,,Bright Week,Διακαινησίμου
,2025-04-13,,,"Martin the Confessor, pope of Rome","Μαρτίνου πάπα Ρώμης, τοῦ ὁμολογητοῦ"
,2025-04-14,,,"Apostles Aristarchos, Pudens & Trophimos of the 70","Ἀριστάρχου, Πούδη & Τροφίμου ἐκ τῶν 70 ἀποστόλων"
,2025-04-14,Movable,,"Martyrs Raphael, Nicholas & Irene of Lesbos","Ραφαήλ, Νικολάου & Εἰρήνης, νεοφανῶν μαρτύρων τῆς Λέσβου"
,2025-04-15,,,Martyr Crescens,Κρήσκεντος μάρτυρος
,2025-04-15,,,"Leonidas, bishop of Athens","Λεωνίδου, ἐπισκόπου Ἀθηνῶν"
,2025-04-16,,,"Martyrs Agape, Irene & Chionia","Ἀγάπης, Εἰρήνης & Χιονίας τῶν μαρτύρων"
,2025-04-17,Movable,,The Life-Giving Spring,Τῆς Ζωοδόχου Πηγῆς
,2025-04-17,,,Hieromartyr Symeon of Persia & his companions,"Συμεὼν ἱερομ., ἐπισκόπου Περσίας & τῶν σὺν αὐτῷ"
,2025-04-18,,,Ven. John the Hesychast,Ἰωάννου τοῦ Ἡσυχαστοῦ
,2025-04-18,,,Martyr Sabbas the Goth,Σάββα στρατηλάτου τοῦ Γότθου
,2025-04-18,,,Ven. Athanasia of Aigina,Ἀθανασίας ὁσίας τῆς Αἰγίνης
,2025-04-19,Movable,,Thomas Sunday,Τοῦ Θωμᾶ
,2025-04-19,,,Hieromartyr Paphnutios,Παφνουτίου ἱερομάρτυρος
,2025-04-19,,,Martyr Theodore and his companios,Θεοδώρου μάρτυρος & τῶν σὺν αὐτῷ
